Machine,SKUCode,MouldNos,MouldLife_remaining,Num_Moulds
8605,1225170015012LSTL0,B70015STKINGLTSY02|B70015STKINGLTSY01,2836,2
8606,1225170015012LSTL0,B70015STKINGLTHM15|B70015STKINGLTGC11,89,2
8701,1225221715115SSTL0,B2157515STLKGHMI06|B2157515STLKGHMI03,2217,2
9001,1225170015012LSTL0,B70015STKINGLTHM43|B70015STKINGLTHM41,2251,2
9002,1225170015012LSTL0,B70015STKINGLTGC10|B70015STKINGLTGC07,2228,2
9201,1225170015010LSTL0,B70015STKINGLTHM14|B70015STKINGLTHM13,2577,2
9202,1225221715115SSTL0,B2157515STLKGHMI02|B2157515STLKGHMI01,2060,2
9203,1D25212812074FXC10,B1208012ULXPC1GC08|B1208012ULXPC1GC07,2970,2
9401,1225170015012LSTL0,B70015STKINGLTHM52|B70015STKINGLTHM29,2553,2
9402,1325114812074TUHL0,B1458012UHLIFHMI03|B1458012ULHLIFHM02,1432,2
9403,1425118916008QRBT0,C18585R16BRUTTGR08|C18585R16BRUTTGR02,2331,2
9404,1D25214012008QSTL0,B14512STKINGLTGC02|B14512STKINGLTGC01,2949,2
9405,1325114812074TUHL0,C14580R12UHLTHMI05|B1458012UHLIFHMI01,1213,2
9406,1325114812074TUHL0,B1458012ULHLIFGC03|B1458012ULHLIFHM01,2269,2
9407,1D25214012008QSTL0,B14512STKINGLHMI02|B14512STKINGLHMI01,2977,2
9408,1D25212812086FXPC0,B1208012ULTXPCHM02|B1208012ULTXPCHM01,2267,2
9409,1D25212812086FXPC0,B1208012ULXPCHMI06|B1208012ULXPCHMI03,2977,2
9410,1D25212812074FXC10,B1208012ULXPC1GC03|B1208012ULXPC1GC01,1221,2
9411,1D25212812086FXPC0,B1208012ULXPCHMI07|B1208012ULXPCHMI05,0,2
9412,1225170015012LSTL0,B70015STKINGLHMI20|B70015STKINGLHMI19,2801,2
9413,1325121715115SLTB0,B2157515BRULTHMI02|B2157515BRULTHMI01,2935,2
9414,1325119815106QBRQ0,B1958015BRUTLTHM05|B1958015BRUTLTHM04,2541,2
9502,1D25213812090FXPC0,B13080R12ULXPCGC03|B13080R12UXPCHMI02,1315,2
9503,1D25213812090FXPC0,B13080R12UXPCHMI08|B13080R12ULXPCGC01,1743,2
9504,1325114812074TUHL0,C14580R12UHLTHMI06|B1458012UHLIFHMI02,2960,2
9505,1D25212812074FXC10,B1208012ULXPC1GC05|B1208012UXPC1HMI01,2919,2
