MouldNo,Compatible_SKUs,Life_Remaining,Assigned_Machine
C21560R17UXRTLGC06,1325221417096HURL0,3000,FREE
R00011R225JUH5HM02,"112221102C016LUH50, 115221102C016LUH50, 115221102C016LVH50, ZMLD",3000,FREE
R0000010R20JDELX04,1121110020016KDEP0,3000,FREE
C21560R17UXRTLHM05,1325221417096HURL0,3000,FREE
C21560R17UXRTLHM06,1325221417096HURL0,3000,FREE
C21560R17UXRTLHM07,1325221417096HURL0,3000,FREE
C21560R17UXRTLHM08,1325221417096HURL0,3000,FREE
C21560R17UXRTLHM09,1325221417096HURL0,3000,FREE
C21560R17UXRTLHM10,1325221417096HURL0,3000,FREE
C21560R17UXRTLHM13,1325221417096HURL0,3000,FREE
C21560R17UXRTLHM14,1325221417096HURL0,3000,FREE
C21560R17UXRTLHM15,1325221417096HURL0,3000,FREE
C21560R17UXRTLHM16,1325221417096HURL0,3000,FREE
C21560R17UXRTLHM17,1325221417096HURL0,3000,FREE
C21560R17UXRTLHM18,1325221417096HURL0,3000,FREE
C21560R17UXRTLHM19,1325221417096HURL0,3000,FREE
C21560R17UXRTLHM20,1325221417096HURL0,3000,FREE
C21560R17UXRTLHM21,1325221417096HURL0,3000,FREE
C21560R17UXRTLHM22,1325221417096HURL0,3000,FREE
C10R20JWJUHXFGC01,1122129A20152JULF0,3000,FREE
C21560R17UXRTHMI01,1325221417096HURL0,3000,FREE
C10R20JSJDC316HM01,1121110020016KDC30,3000,FREE
C10R20JSJDH316HM09,1121110020016KDH30,3000,FREE
C10R20JSJDH316HM10,1121110020016KDH30,3000,FREE
C10R20JSJDH316HM11,1121110020016KDH30,3000,FREE
C10R20JSJDH316HM12,1121110020016KDH30,3000,FREE
C10R20JSJDH316HM13,1121110020016KDH30,3000,FREE
C10R20JSJDH316HM14,1121110020016KDH30,3000,FREE
C10R20JSJDH316HM15,1121110020016KDH30,3000,FREE
C10R20JSJDH316HM16,1121110020016KDH30,3000,FREE
C10R20JSJDH316HM17,1121110020016KDH30,3000,FREE
C10R20JSJDH316HM18,1121110020016KDH30,3000,FREE
C10R20JSJDH316HM19,1121110020016KDH30,3000,FREE
C10R20JSJDH316HM20,1121110020016KDH30,3000,FREE
C10R20JSJDH316HM21,1121110020016KDH30,3000,FREE
C10R20JSJDH316HM22,1121110020016KDH30,3000,FREE
C10R20JSJDH316HM23,1121110020016KDH30,3000,FREE
C10R20JSJDH316HM24,1121110020016KDH30,3000,FREE
C10R20JSJDH316SY02,1121110020016KDH30,3000,FREE
C10R20JSJDH316SY05,1121110020016KDH30,3000,FREE
C10R20JSJDL16GR05,1121110020016KJDL0,3000,FREE
C10R20JSJDL16GR06,1121110020016KJDL0,3000,FREE
C10R20JSJDL16GR08,1121110020016KJDL0,3000,FREE
C10R20JSJDL16GR09,1121110020016KJDL0,3000,FREE
C10R20JSJDL16GR10,1121110020016KJDL0,3000,FREE
C10R20JSJDL16GR11,1121110020016KJDL0,3000,FREE
C10R20JSJDL16GR12,1121110020016KJDL0,3000,FREE
C10R20JSJDL16GR13,1121110020016KJDL0,3000,FREE
C10R20JSJDL16GR14,1121110020016KJDL0,3000,FREE
C10R20JSJDL16GR15,1121110020016KJDL0,3000,FREE
C9R20JSJDH16GC01,1121190020016KJDH0,3000,FREE
C9R20JSJDH16GC02,1121190020016KJDH0,3000,FREE
C9R20JSJDH16GC03,1121190020016KJDH0,3000,FREE
C9R20JSJDH16GC04,1121190020016KJDH0,3000,FREE
C10R20JWJUH316GC01,"1122110020016KH3P0, 1122110020016KH3PT, 1152110020016KVH30",3000,FREE
C10R20JWJUH316GC02,"1122110020016KH3P0, 1122110020016KH3PT, 1152110020016KVH30",3000,FREE
C14580R12NXTTLGR01,"1325114812074TUNX0, 1325214812074TUNX0",3000,FREE
C14580R12NXTTLGR02,"1325114812074TUNX0, 1325214812074TUNX0",3000,FREE
C14580R12NXTTLNS04,"1325114812074TUNX0, 1325214812074TUNX0",3000,FREE
C14580R12NXTTLNS05,"1325114812074TUNX0, 1325214812074TUNX0",3000,FREE
C14580R12NXTTLNS06,"1325114812074TUNX0, 1325214812074TUNX0",3000,FREE
C14580R12NXTTLNS07,"1325114812074TUNX0, 1325214812074TUNX0",3000,FREE
C14580R12NXTTLNS08,"1325114812074TUNX0, 1325214812074TUNX0",3000,FREE
C14580R12NXTTLNS09,"1325114812074TUNX0, 1325214812074TUNX0",3000,FREE
C14580R12NEOTLGC04,1325214812074TUNE1,3000,FREE
C14580R12NEOTLGC05,1325214812074TUNE1,3000,FREE
C14580R12NEOTLGC06,1325214812074TUNE1,3000,FREE
C14580R12NEOTLGC07,1325214812074TUNE1,3000,FREE
C14580R12NEOTLGC08,1325214812074TUNE1,3000,FREE
C14580R12NEOTLGC11,1325214812074TUNE1,3000,FREE
C14580R12NEOTLGC12,1325214812074TUNE1,3000,FREE
C14580R12NEOTLGC13,1325214812074TUNE1,3000,FREE
C14580R12NEOTLGC14,1325214812074TUNE1,3000,FREE
C14580R12NEOTLGC15,1325214812074TUNE1,3000,FREE
C15565R12ULLXTGR02,1325215512071SULX0,3000,FREE
C15565R12ULLXTGR03,1325215512071SULX0,3000,FREE
C16570R12UTSTLMK01,1325216612077TUSP0,3000,FREE
C16570R12UTSTLMK02,1325216612077TUSP0,3000,FREE
C16570R12UTSTLNS02,1325216612077TUSP0,3000,FREE
C145R12XPCLTTTGC01,"1D25114012008QXPC0, 1D25214012008QXPC0, 1D25214012008QXPCM, 1D25214012008QXPCT",3000,FREE
C145R12XPCLTTTGC02,"1D25114012008QXPC0, 1D25214012008QXPC0, 1D25214012008QXPCM, 1D25214012008QXPCT",3000,FREE
C145R12XPCLTTTGC03,"1D25114012008QXPC0, 1D25214012008QXPC0, 1D25214012008QXPCM, 1D25214012008QXPCT",3000,FREE
C145R12XPCLTTTGC04,"1D25114012008QXPC0, 1D25214012008QXPC0, 1D25214012008QXPCM, 1D25214012008QXPCT",3000,FREE
C145R12XPCLTTTGC05,"1D25114012008QXPC0, 1D25214012008QXPC0, 1D25214012008QXPCM, 1D25214012008QXPCT",3000,FREE
C145R12XPCLTTTGC06,"1D25114012008QXPC0, 1D25214012008QXPC0, 1D25214012008QXPCM, 1D25214012008QXPCT",3000,FREE
C145R12XPCLTTTHM03,"1D25114012008QXPC0, 1D25214012008QXPC0, 1D25214012008QXPCM, 1D25214012008QXPCT",3000,FREE
C145R12XPCLTTTHM04,"1D25114012008QXPC0, 1D25214012008QXPC0, 1D25214012008QXPCM, 1D25214012008QXPCT",3000,FREE
C17570R12ULNTLHM01,1325217612080HUNE0,3000,FREE
C17570R12ULNTLHM02,1325217612080HUNE0,3000,FREE
C16570R13NEOHM01,1325216613079HUNE0,3000,FREE
C16570R13NEOHM02,1325216613079HUNE0,3000,FREE
C17570R13ULNTLHM01,1325217613082TUNE0,3000,FREE
C17570R13ULNTLHM02,1325217613082TUNE0,3000,FREE
C18570R13ULNTLHM01,1325218613086HUNE0,3000,FREE
C18570R13ULNTLHM02,1325218613086HUNE0,3000,FREE
C15565R13NEOTLGC01,1325215513073TUNE0,3000,FREE
C15565R13NEOTLGC02,1325215513073TUNE0,3000,FREE
C15565R13NEOTLHM01,1325215513073TUNE0,3000,FREE
C15565R13NEOTLHM02,1325215513073TUNE0,3000,FREE
C15570R13NXTTLGR03,1325215613075TUNX0,3000,FREE
C15570R13NXTTLGR04,1325215613075TUNX0,3000,FREE
C15570R13NEOTLGC01,"1325215613075TUNE0, 1325215613075TUNE1",3000,FREE
C15570R13NEOTLGC02,"1325215613075TUNE0, 1325215613075TUNE1",3000,FREE
C15570R13NEOTLGC03,"1325215613075TUNE0, 1325215613075TUNE1",3000,FREE
