MouldNo,Compatible_SKUs,Life_Remaining,Assigned_Machine
B2156016UXROYLGC10,"1325221416095VURL0, 1325221416095VURL1",0,15207
B2156016UXROYLGC11,"1325221416095VURL0, 1325221416095VURL1",3000,FREE
B2156016UXROYLGC12,"1325221416095VURL0, 1325221416095VURL1",2609,75225
B2156016UXROYLGC13,"1325221416095VURL0, 1325221416095VURL1",3000,FREE
B2156016UXROYLGC14,"1325221416095VURL0, 1325221416095VURL1",3000,FREE
B2156016UXROYLGC15,"1325221416095VURL0, 1325221416095VURL1",3000,FREE
B2156016UXROYLGC16,"1325221416095VURL0, 1325221416095VURL1",2899,75217
B2156016UXROYLGC17,"1325221416095VURL0, 1325221416095VURL1",3000,FREE
B2156016UXROYLGC18,"1325221416095VURL0, 1325221416095VURL1",0,75202
B2156017UXROYLGC01,1325221417100HURL1,1816,75223
B2156017UXROYLGC02,1325221417100HURL1,1226,75216
B2156017UXROYLGC03,1325221417100HURL1,3000,FREE
B2156017UXROYLGC04,1325221417100HURL1,3000,FREE
B2156017UXROYLGC05,1325221417100HURL1,3000,FREE
B2156017UXROYLGC06,1325221417100HURL1,1226,75216
B21560R17RHTTLHM01,1325221417096HRHT0,3000,FREE
B21560R17RHTTLHM02,1325221417096HRHT0,3000,FREE
B2157015ULXPC1HM01,1225221615008QXC10,2861,14807
B2157015ULXPC1HM02,1225221615008QXC10,2861,14807
B2157515BRT4LTHM01,"1325121715100SBRT0, 1325221715100SBRT0",2564,4911
B2157515BRT4LTHM02,"1325121715100SBRT0, 1325221715100SBRT0",2663,4912
B2157515BRT4LTHM03,"1325121715100SBRT0, 1325221715100SBRT0",2663,4912
B2157515BRT4LTHM04,"1325121715100SBRT0, 1325221715100SBRT0",2564,4911
B2157515BRT4LTNS01,"1325121715100SBRT0, 1325221715100SBRT0",3000,FREE
B2157515BRT4LTNS02,"1325121715100SBRT0, 1325221715100SBRT0",3000,FREE
B2157515BRULTHMI01,1325121715115SLTB0,2935,9413
B2157515BRULTHMI02,1325121715115SLTB0,2935,9413
B2157515BRULTHMI03,1325121715115SLTB0,2933,4416
B2157515BRULTHMI04,1325121715115SLTB0,2933,4416
B2157515BRUTLTDC05,"1325121715008SLTB0, 1325121715008SLTB1, 1325121715010LLTB0, 1325121715115SLTB0",3000,FREE
B2157515BRUTLTDC06,"1325121715008SLTB0, 1325121715008SLTB1, 1325121715010LLTB0, 1325121715115SLTB0",3000,FREE
B2157515BRUTLTDC07,"1325121715008SLTB0, 1325121715008SLTB1, 1325121715010LLTB0, 1325121715115SLTB0",3000,FREE
B2157515BRUTLTDC08,"1325121715008SLTB0, 1325121715008SLTB1, 1325121715010LLTB0, 1325121715115SLTB0",3000,FREE
B2157515BRUTLTDC09,"1325121715008SLTB0, 1325121715008SLTB1, 1325121715010LLTB0, 1325121715115SLTB0",2941,4906
B2157515BRUTLTDC10,"1325121715008SLTB0, 1325121715008SLTB1, 1325121715010LLTB0, 1325121715115SLTB0",2941,4906
B2157515BRUTLTGR01,"1325121715008SLTB0, 1325121715008SLTB1, 1325121715010LLTB0, 1325121715115SLTB0",3000,FREE
B2157515BRUTLTMK01,"1325121715008SLTB0, 1325121715010LLTB0, 1325121715115SLTB0",3000,FREE
B2157515BRUTLTMK02,"1325121715008SLTB0, 1325121715008SLTB1, 1325121715010LLTB0, 1325121715115SLTB0",3000,FREE
B2157515BRUTLTMK03,"1325121715008SLTB0, 1325121715010LLTB0, 1325121715115SLTB0",3000,FREE
B2157515BRUTLTMK04,1325121715115SLTB0,3000,FREE
B2157515RANBRTYE01,1325121715100SRBT0,3000,FREE
B2157515RANBRTYE02,1325121715100SRBT0,3000,FREE
B2157515RANXATTY01,"1325121715100SRXT0, 1325221715100SRXT0",3000,FREE
B2157515RANXATTY02,"1325121715100SRXT0, 1325221715100SRXT0",3000,FREE
B2157515RAXATHMI01,"1325121715100SRXT0, 1325221715100SRXT0",3000,FREE
B2157515RAXATHMI02,"1325121715100SRXT0, 1325221715100SRXT0",3000,FREE
B2157515RAXATHMI03,"1325121715100SRXT0, 1325221715100SRXT0",3000,FREE
B2157515RAXATHMI04,"1325121715100SRXT0, 1325221715100SRXT0",3000,FREE
B2157515STLKGBHM07,1225221715115SSTL0,1848,4908
B2157515STLKGBHM08,1225221715115SSTL0,3000,FREE
B2157515STLKGBHM09,1225221715115SSTL0,3000,FREE
B2157515STLKGBHM10,1225221715115SSTL0,1848,4908
B2157515STLKGHMI01,1225221715115SSTL0,2060,9202
B2157515STLKGHMI02,1225221715115SSTL0,2060,9202
B2157515STLKGHMI03,1225221715115SSTL0,2217,8701
B2157515STLKGHMI04,1225221715115SSTL0,3000,FREE
B2157515STLKGHMI05,1225221715115SSTL0,455,8602
B2157515STLKGHMI06,1225221715115SSTL0,2217,8701
B2157515STLKNGHM01,1225121715115SSTL0,3000,FREE
B2157515STLKNGHM02,1225121715115SSTL0,3000,FREE
B2157515STLKNGHM03,1225121715115SSTL0,3000,FREE
B2157515STLKNGHM04,1225121715115SSTL0,3000,FREE
B2157515STLKNGHM05,1225121715115SSTL0,3000,FREE
B2157515STLKNGHM06,1225121715115SSTL0,3000,FREE
B2157515STLKNGHM07,1225121715115SSTL0,3000,FREE
B2157515STLKNGHM08,1225121715115SSTL0,3000,FREE
B2157515STLKNGHM09,1225121715115SSTL0,3000,FREE
B2157515STLKNGHM10,1225121715115SSTL0,3000,FREE
B2157515STLKNGHM11,1225221715115SSTL0,1708,8603
B2157515STLKNGHM12,1225221715115SSTL0,1708,8603
B2157515STLKNGHM13,1225221715115SSTL0,455,8602
B2157515STLKNGHM14,1225221715115SSTL0,3000,FREE
B21575R16XPC1HMI01,"1225121716010SXC10, 1225221716008SXC10, 1225221716010SXC10, 1D25121716008SXC10, 1D25221716008SXC10",3000,FREE
B21575R16XPC1HMI02,"1225121716010SXC10, 1225221716008SXC10, 1225221716010SXC10, 1D25121716008SXC10, 1D25221716008SXC10",3000,FREE
B22560R17UXRYLGC01,1325222417099HURL0,3000,FREE
B22560R17UXRYLGC02,1325222417099HURL0,3000,FREE
B2257015ULXPC1HM01,1225222615008RXC10,3000,FREE
B2257015ULXPC1HM02,1225222615008RXC10,3000,FREE
B22575R16XPCLTGC02,"1225222716121MXC10, 1225222716121MXC11, 1225222716121MXC11 , 1225222716121NXC11",3000,FREE
B22575R16XPCLTGC03,"1225222716121MXC10, 1225222716121MXC11, 1225222716121MXC11 , 1225222716121NXC11",3000,FREE
B22575R16XPCLTGC04,"1225222716121MXC10, 1225222716121MXC11, 1225222716121MXC11 , 1225222716121NXC11",3000,FREE
B22575R16XPCLTGC05,"1225222716121MXC10, 1225222716121MXC11, 1225222716121MXC11 , 1225222716121NXC11",3000,FREE
B23565R16SKINGGC01,"1225223516115PSKP0, 1225223516121PSKP0",3000,FREE
B23565R16SKINGGC02,"1225223516115PSKP0, 1225223516121PSKP0",798,15208
B23565R16SKINGGC03,1225223516121PSKP0,798,15208
B23565R16SKINGGC04,1225223516121PSKP0,3000,FREE
B23565R16SKINGGC05,1225223516121PSKP0,3000,FREE
B23565R16SKINGGC06,1225223516121PSKP0,1583,14808
B23565R16SKNGHMI01,1225223516121PSKP0,1583,14808
B23565R16SKNGHMI02,1225223516121PSKP0,2765,14810
B23565R16SKNGHMI03,1225223516121PSKP0,2765,14810
B23565R16SKNGHMI04,1225223516121PSKP0,3000,FREE
B23565R17RHTTLHM09,1325223517104HRHT0,2972,75214
B23565R17RHTTLHM10,1325223517104HRHT0,3000,FREE
B2357515BRT4LTHM01,"1325123715105SBRT0, 1325223715105SBRT0",3000,FREE
B2357515BRT4LTHM02,"1325123715105SBRT0, 1325223715105SBRT0",3000,FREE
B2357515BRT4LTHM03,1325123715105SBRT0,3000,FREE
B2357515BRT4LTHM04,1325123715105SBRT0,3000,FREE
B2357515BRT4LTHM05,"1325123616105SBRT0, 1325123715105SBRT0, 1325223715105SBRT0",3000,FREE
B2357515BRT4LTHM06,"1325123616105SBRT0, 1325123715105SBRT0, 1325223715105SBRT0",3000,FREE
B2357515RANXATTY01,"1325123715105SRXT0, 1325223715105SRXT0",3000,FREE
B2357515RANXATTY02,"1325123715105SRXT0, 1325223715105SRXT0",3000,FREE
B2357515RAXATHMI01,"1325123715105SRXT0, 1325223715105SRXT0",3000,FREE
B2357515RAXATHMI02,"1325123715105SRXT0, 1325223715105SRXT0",3000,FREE
B2357515RAXATHMI03,"1325123715105SRXT0, 1325223715105SRXT0",3000,FREE
B2357515RAXATHMI04,"1325123715105SRXT0, 1325223715105SRXT0",3000,FREE
B2358516RANAT2HM01,1325223916120QRAB0,3000,FREE
B2358516RANAT2HM02,1325223916120QRAB0,3000,FREE
B24057013LEVEXGC01,1F15224013570DLVX0,3000,FREE
B24057013LEVEXGC02,1F15224013570DLVX0,3000,FREE
